YEAR,State,GoldProduced
1851,NSW,3429
1851,VIC,6515
1852,NSW,19482
1852,VIC,66964
1852,SA,20
1853,NSW,13974
1853,VIC,80364
1853,SA,850
1854,NSW,5661
1854,VIC,64971
1854,SA,800
1855,NSW,4793
1855,VIC,82566
1855,SA,180
1856,NSW,5046
1856,VIC,89433
1856,TAS,13.2
1856,SA,150
1857,NSW,4938
1857,VIC,82886
1857,TAS,10.1
1857,SA,140
1858,NSW,8084
1858,VIC,76034
1858,TAS,6.81
1858,SA,130
1859,QLD,21.5
1859,NSW,9219
1859,VIC,68785
1859,TAS,3.58
1859,SA,130
1860,QLD,85.2
1860,NSW,10729
1860,VIC,65135
1860,TAS,0.31
1860,SA,120
1861,QLD,28.8
1861,NSW,13224
1861,VIC,59603
1861,TAS,0.25
1861,SA,120
1862,QLD,4.54
1862,NSW,18068
1862,VIC,50671
1862,SA,100
1863,QLD,108
1863,NSW,13151
1863,VIC,49635
1863,SA,70
1864,QLD,610
1864,NSW,9554
1864,VIC,47515
1864,SA,40
1865,QLD,680
1865,NSW,9015
1865,VIC,47196
1865,SA,40
1866,QLD,626
1866,NSW,8174
1866,VIC,45304
1866,TAS,7.65
1866,SA,30
1867,QLD,1386
1867,NSW,7714
1867,VIC,43972
1867,TAS,32.1
1867,SA,100
1868,QLD,4345
1868,NSW,7283
1868,VIC,49345
1868,TAS,18.6
1868,SA,200
1869,QLD,3829
1869,NSW,7132
1869,VIC,45240
1869,TAS,3.8
1869,SA,750
1870,QLD,3584
1870,NSW,6816
1870,VIC,38198
1870,TAS,26.8
1870,SA,830
1871,QLD,4517
1871,NSW,9155
1871,VIC,40091
1871,TAS,172
1871,SA,850
1872,QLD,4835
1872,NSW,12038
1872,VIC,38991
1872,TAS,200
1872,SA,200
1873,QLD,5254
1873,NSW,10224
1873,VIC,34277
1873,TAS,135
1873,SA,120
1874,QLD,9929
1874,NSW,7626
1874,VIC,32146
1874,TAS,135
1874,SA,20
1875,QLD,10971
1875,NSW,6426
1875,VIC,31290
1875,TAS,87.7
1875,SA,100
1876,QLD,10529
1876,NSW,4490
1876,VIC,28225
1876,TAS,329
1876,SA,72.4
1877,QLD,9644
1877,NSW,3452
1877,VIC,23712
1877,TAS,171
1878,QLD,8414
1878,NSW,3150
1878,VIC,22200
1878,TAS,732
1878,SA,8.96
1879,QLD,7572
1879,NSW,2981
1879,VIC,22227
1879,TAS,1691
1879,SA,0.65
1880,QLD,6918
1880,NSW,3253
1880,VIC,24282
1880,TAS,1474
1880,NT,579
1881,QLD,7011
1881,NSW,4200
1881,VIC,24407
1881,TAS,1588
1881,SA,6.44
1881,NT,820
1882,QLD,5754
1882,NSW,3855
1882,VIC,25321
1882,TAS,1372
1882,SA,33.9
1882,NT,591
1883,QLD,5395
1883,NSW,3357
1883,VIC,22851
1883,TAS,1292
1883,SA,77.1
1883,NT,565
1884,QLD,7779
1884,NSW,2900
1884,VIC,22803
1884,TAS,1174
1884,SA,113
1884,NT,571
1885,QLD,7779
1885,NSW,2772
1885,VIC,21532
1885,TAS,1137
1885,SA,134
1885,NT,516
1886,QLD,8692
1886,NSW,2682
1886,VIC,19481
1886,TAS,858
1886,SA,238
1886,WA,8.4
1886,NT,462
1887,QLD,10850
1887,NSW,2889
1887,VIC,18092
1887,TAS,1161
1887,SA,527
1887,WA,136
1887,NT,504
1888,QLD,12377
1888,NSW,2323
1888,VIC,18305
1888,TAS,1077
1888,SA,250
1888,WA,97.2
1888,NT,255
1889,QLD,19736
1889,NSW,3183
1889,VIC,18006
1889,TAS,876
1889,SA,273
1889,WA,431
1889,NT,349
1890,QLD,15980
1890,NSW,3370
1890,VIC,17237
1890,TAS,556
1890,SA,152
1890,WA,635
1890,NT,591
1891,QLD,14865
1891,NSW,4094
1891,VIC,16881
1891,TAS,1065
1891,SA,200
1891,WA,843
1891,NT,723
1892,QLD,15847
1892,NSW,4212
1892,VIC,19167
1892,TAS,1164
1892,SA,191
1892,WA,1657
1892,NT,799
1893,QLD,15872
1893,NSW,4768
1893,VIC,19655
1893,TAS,1035
1893,SA,92
1893,WA,3085
1893,NT,792
1894,QLD,17061
1894,NSW,8469
1894,VIC,20997
1894,TAS,1589
1894,SA,245
1894,WA,5763
1894,NT,803
1895,QLD,15745
1895,NSW,9635
1895,VIC,21674
1895,TAS,1509
1895,SA,191
1895,WA,6441
1895,NT,753
1896,QLD,15617
1896,NSW,7859
1896,VIC,23578
1896,TAS,1739
1896,SA,105
1896,WA,7825
1896,NT,595
1897,QLD,18690
1897,NSW,8085
1897,VIC,23803
1897,TAS,2172
1897,SA,286
1897,WA,18780
1897,NT,594
1898,QLD,20137
1898,NSW,8799
1898,VIC,24520
1898,TAS,2134
1898,SA,78.5
1898,WA,29218
1898,NT,620
1899,QLD,20782
1899,NSW,11885
1899,VIC,25025
1899,TAS,2398
1899,SA,114
1899,WA,45736
1899,NT,465
1900,QLD,21024
1900,NSW,7841
1900,VIC,23646
1900,TAS,2315
1900,SA,107
1900,WA,43985
1900,NT,497
1901,QLD,18610
1901,NSW,5397
1901,VIC,22717
1901,TAS,2161
1901,SA,122
1901,WA,52976
1901,NT,647
1902,QLD,19918
1902,NSW,5015
1902,VIC,22419
1902,TAS,2208
1902,SA,182
1902,WA,58189
1902,NT,515
1903,QLD,20792
1903,NSW,7907
1903,VIC,23863
1903,TAS,1863
1903,SA,210
1903,WA,64215
1903,NT,511
1904,QLD,19878
1904,NSW,8391
1904,VIC,23810
1904,TAS,2050
1904,SA,557
1904,WA,61678
1904,NT,308
1905,QLD,18431
1905,NSW,8530
1905,VIC,23237
1905,TAS,2287
1905,SA,336
1905,WA,60810
1905,NT,378
1906,QLD,16938
1906,NSW,7899
1906,VIC,24018
1906,TAS,1867
1906,SA,198
1906,WA,55810
1906,NT,360
1907,QLD,14489
1907,NSW,7693
1907,VIC,21632
1907,TAS,2033
1907,SA,150
1907,WA,52794
1907,NT,159
1908,QLD,14464
1908,NSW,6991
1908,VIC,20875
1908,TAS,1775
1908,SA,90.1
1908,WA,51250
1908,NT,177
1909,QLD,14169
1909,NSW,6366
1909,VIC,20346
1909,TAS,1393
1909,SA,221
1909,WA,49613
1909,NT,228
1910,QLD,13728
1910,NSW,5873
1910,VIC,17739
1910,TAS,1152
1910,SA,205
1910,WA,45737
1910,NT,187
1911,QLD,12010
1911,NSW,5633
1911,VIC,15674
1911,TAS,967
1911,SA,110
1911,WA,42634
1911,NT,226
1912,QLD,10821
1912,NSW,5141
1912,VIC,14932
1912,TAS,1181
1912,SA,205
1912,WA,39891
1912,NT,166
1913,QLD,8264
1913,NSW,4654
1913,VIC,13526
1913,TAS,1039
1913,SA,204
1913,WA,40867
1913,NT,97
1914,QLD,7758
1914,NSW,3872
1914,VIC,12851
1914,TAS,816
1914,SA,195
1914,WA,38346
1914,NT,78.7
1915,QLD,7766
1915,NSW,4121
1915,VIC,10234
1915,TAS,577
1915,SA,189
1915,WA,37634
1915,NT,27.7
1916,QLD,6692
1916,NSW,3363
1916,VIC,7982
1916,TAS,491
1916,SA,242
1916,WA,33009
