Mine / Project / Field,State /,Operating,Processed
(in no particular order),Territory,Period,Mt ore
SuperPit,WA,1989-2021#,352.7
Boddington,WA,1988-2001,104.2
Boddington,WA,2009-2021#,436.9
Bronzewing,WA,1994-2013@,22.97
Labouchere,WA,1989-1994,3.03
Phillips Find trial mining,WA,2013-2015,0.114
Coolgardie-Three Mile Hill,WA,1990-2013@,17.6
Jundee,WA,1995-2021#,53.4
Wiluna,WA,"1988-2021@,#",42.9
Sunrise Dam,WA,1997-2021#,82.0
Mount Charlotte,WA,1988-2001,19.7
Fimiston,WA,1988-1995,5.40
Fimiston-Paringa,WA,1984-1990,4.72
Andy Well,WA,2013-2016,1.31
Deflector,WA,2016-2021#,3.29
Mount Percy,WA,1988-1997,5.10
Brightstar,WA,2010-2012,0.411
Big Bell,WA,1988-2001,30.4
South Kagloorlie,WA,2002-2021#,45.2
Jubilee,WA,1988-2001,16.1
Nullagine,WA,2012-2021@,13.8
Gruyere,WA,"2019-2021@,#",19.8
Karonie,WA,1988-1993,1.78
Golden Crown,WA,1991-1994,0.269
White Foil,WA,2010-2011,0.291
Granny Smith,WA,1990-2021#,93.0
Paddington Group,WA,"1988-2021@,#",88.7
Kundana,WA,"1990-2015@,#",8.19
Sandstone,WA,1994-2010,7.34
New Celebration,WA,1988-2002,20.2
Comet Vale,WA,2006-2020@,0.223
Ora Banda-Lady Bountiful-Great Lady,WA,1988-1998,26.6
Telfer,WA,1977-2021#,496.1
St Ives Group,WA,1980-2021#,158.5
Central Norseman,WA,1937-2014,18.1
Lancefield,WA,1988-1995$,3.42
Coyote,WA,2006-2013,1.48
Trouser Legs,WA,2013-2014,0.673
Hill 50,WA,1988-1997$,16.7
Agnew,WA,1988-2021#,37.2
Kanowna Belle,WA,1990-2021#,53.9
Tower Hill,WA,1989-1992,1.19
Mount York-Lynas Find,WA,1995-1998,2.07
Bannockburn,WA,1991-1998,4.79
Fortitude-Red Dog,WA,2017-2018,0.348
Red October,WA,2019-2021#,0.115
