Name,State,Latitude,Longitude,Status,Commodity Group
A1,VIC,-37.5051,146.1997,Operating mine,"Precious metals - Au, Ag, PGE"
Abel,NSW,-32.818419,151.621127,Care and maintenance,Coal
Abra,WA,-24.643101,118.587279,Developing mine,"Base metals - Cu (Zn, Pb, Ag, Au)"
Agate Creek,QLD,-18.9942,143.5486,Operating mine,"Precious metals - Au, Ag, PGE"
Agnew,WA,-28.00071,120.5081,Operating mine,"Precious metals - Au, Ag, PGE"
Agricola,SA,-36.1867,139.6796,Operating mine,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Airly,NSW,-33.097754,150.01477,Operating mine,Coal
Ammaroo,NT,-21.792109,135.834839,Developing mine,"Fertiliser elements - P,K"
Amrun,QLD,-12.973,141.633,Operating mine,Bauxite
Andoom,QLD,-12.538352,141.832296,Operating mine,Bauxite
Andy Well,WA,-26.2278,118.6766,Care and maintenance,"Precious metals - Au, Ag, PGE"
Angas,SA,-35.251066,138.915917,Care and maintenance,"Base metals - Zn, Pb (Cu, Ag)"
Angus Place,NSW,-33.349157,150.199019,Care and maintenance,Coal
Ant Hill,WA,-22.090917,120.594976,Care and maintenance,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Anthill,QLD,-20.2505,139.1151,Operating mine,"Base metals - Cu (Zn, Pb, Ag, Au)"
Appin,NSW,-34.2079,150.7918,Operating mine,Coal
Ardmore,QLD,-21.647041,139.170007,Operating mine,"Fertiliser elements - P,K"
Ashton,NSW,-32.46667,151.06667,Operating mine,Coal
Atlas,WA,-30.538165,115.248896,Developing mine,"Heavy mineral sands - Ti, Zr"
Atlas-Campaspe,NSW,-33.7921,143.3413,Developing mine,"Heavy mineral sands - Ti, Zr"
Australian Vanadium,WA,-26.967612,118.646257,Developing mine,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Avebury,TAS,-41.92011,145.24854,Operating mine,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Avonbank,VIC,-36.62,142.32,Developing mine,"Heavy mineral sands - Ti, Zr, REE"
Axehandle,WA,-31.3165,119.3931,Care and maintenance,"Precious metals - Au, Ag, PGE"
Balcooma,QLD,-18.7718,144.713,Care and maintenance,"Base metals - Cu (Zn, Pb, Ag, Au)"
Bald Hill,WA,-31.513331,122.181148,Operating mine,Lithium
Balla Balla,WA,-20.765446,117.775173,Developing mine,Iron ore
Ballarat East,VIC,-37.5897,143.8597,Operating mine,"Precious metals - Au, Ag, PGE"
Balranald,NSW,-34.45993,143.461186,Developing mine,"Heavy mineral sands - Ti, Zr"
Bamboo Creek,WA,-20.9307,120.2117,Operating mine,"Precious metals - Au, Ag, PGE"
Baneygo,WA,-27.9637,122.3123,Operating mine,"Precious metals - Au, Ag, PGE"
Baralaba North,QLD,-24.164856,149.803238,Operating mine,Coal
Barbara,QLD,-20.415343,139.850148,Care and maintenance,"Base metals - Cu (Zn, Pb, Ag, Au)"
Barrambie,WA,-27.433241,119.121101,Developing mine,"Other metals - Sn, W, Ta, Ti"
Bauxite Hills,QLD,-11.83479,142.04488,Operating mine,Bauxite
Beatons Creek,WA,-21.80833,120.4169,Operating mine,"Precious metals - Au, Ag, PGE"
Bengalla,NSW,-32.2715,150.846,Operating mine,Coal
Beta Hunt,WA,-31.24026,121.693915,Operating mine,"Precious metals - Au, Ag, PGE"
Beyondie,WA,-24.77,120.32,Operating mine,"Fertiliser elements - P,K"
Big Bell,WA,-27.3209,117.6542,Operating mine,"Precious metals - Au, Ag, PGE"
Binjour,QLD,-25.5,151.5,Developing mine,Bauxite
Black Swan,WA,-30.3934,121.652,Care and maintenance,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Blackwater,QLD,-23.685585,148.807361,Operating mine,Coal
Blackwater,TAS,-41.1101,144.9469,Operating mine,"High-purity elements - Al, Si"
