YEAR,QLD,NSW,VIC,TAS,SA,WA,NT
1851,,"3,429","6,515",,,,
1852,,"19,482","66,964",,20.0,,
1853,,"13,974","80,364",,850,,
1854,,"5,661","64,971",,800,,
1855,,"4,793","82,566",,180,,
1856,,"5,046","89,433",13.2,150,,
1857,,"4,938","82,886",10.1,140,,
1858,,"8,084","76,034",6.81,130,,
1859,21.5,"9,219","68,785",3.58,130,,
1860,85.2,"10,729","65,135",0.31,120,,
1861,28.8,"13,224","59,603",0.25,120,,
1862,4.54,"18,068","50,671",,100,,
1863,108,"13,151","49,635",,70.0,,
1864,610,"9,554","47,515",,40.0,,
1865,680,"9,015","47,196",,40.0,,
1866,626,"8,174","45,304",7.65,30.0,,
1867,"1,386","7,714","43,972",32.1,100,,
1868,"4,345","7,283","49,345",18.6,200,,
1869,"3,829","7,132","45,240",3.8,750,,
1870,"3,584","6,816","38,198",26.8,830,,
1871,"4,517","9,155","40,091",172,850,,
1872,"4,835","12,038","38,991",200,200,,
1873,"5,254","10,224","34,277",135,120,,
1874,"9,929","7,626","32,146",135,20.0,,
1875,"10,971","6,426","31,290",87.7,100,,
1876,"10,529","4,490","28,225",329,72.4,,
1877,"9,644","3,452","23,712",171,,,
1878,"8,414","3,150","22,200",732,8.96,,
1879,"7,572","2,981","22,227","1,691",0.65,,
1880,"6,918","3,253","24,282","1,474",,,579
1881,"7,011","4,200","24,407","1,588",6.44,,820
1882,"5,754","3,855","25,321","1,372",33.9,,591
1883,"5,395","3,357","22,851","1,292",77.1,,565
1884,"7,779","2,900","22,803","1,174",113,,571
1885,"7,779","2,772","21,532","1,137",134,,516
1886,"8,692","2,682","19,481",858,238,8.40,462
1887,"10,850","2,889","18,092","1,161",527,136,504
1888,"12,377","2,323","18,305","1,077",250,97.2,255
1889,"19,736","3,183","18,006",876,273,431,349
1890,"15,980","3,370","17,237",556,152,635,591
1891,"14,865","4,094","16,881","1,065",200,843,723
1892,"15,847","4,212","19,167","1,164",191,"1,657",799
1893,"15,872","4,768","19,655","1,035",92.0,"3,085",792
1894,"17,061","8,469","20,997","1,589",245,"5,763",803
1895,"15,745","9,635","21,674","1,509",191,"6,441",753
1896,"15,617","7,859","23,578","1,739",105,"7,825",595
1897,"18,690","8,085","23,803","2,172",286,"18,780",594
1898,"20,137","8,799","24,520","2,134",78.5,"29,218",620
1899,"20,782","11,885","25,025","2,398",114,"45,736",465
1900,"21,024","7,841","23,646","2,315",107,"43,985",497
1901,"18,610","5,397","22,717","2,161",122,"52,976",647
1902,"19,918","5,015","22,419","2,208",182,"58,189",515
1903,"20,792","7,907","23,863","1,863",210,"64,215",511
1904,"19,878","8,391","23,810","2,050",557,"61,678",308
1905,"18,431","8,530","23,237","2,287",336,"60,810",378
1906,"16,938","7,899","24,018","1,867",198,"55,810",360
1907,"14,489","7,693","21,632","2,033",150,"52,794",159
1908,"14,464","6,991","20,875","1,775",90.1,"51,250",177
1909,"14,169","6,366","20,346","1,393",221,"49,613",228
1910,"13,728","5,873","17,739","1,152",205,"45,737",187
1911,"12,010","5,633","15,674",967,110,"42,634",226
1912,"10,821","5,141","14,932","1,181",205,"39,891",166
1913,"8,264","4,654","13,526","1,039",204,"40,867",97.0
1914,"7,758","3,872","12,851",816,195,"38,346",78.7
1915,"7,766","4,121","10,234",577,189,"37,634",27.7
1916,"6,692","3,363","7,982",491,242,"33,009",59.4
1917,"5,576","2,556","6,278",451,222,"30,177",26.9
1918,"4,154","2,707","4,940",327,192,"27,259",16.3
